"Date","Price","Open","High","Low","Change %"
"Dec 30, 2018","2.668","2.730","2.745","2.543","-1.77%"
"Dec 23, 2018","2.716","2.826","2.826","2.713","-2.58%"
"Dec 16, 2018","2.788","2.895","2.898","2.748","-3.70%"
"Dec 09, 2018","2.895","2.829","2.918","2.825","1.29%"
"Dec 02, 2018","2.858","3.037","3.050","2.826","-4.51%"
"Nov 25, 2018","2.993","3.050","3.079","2.988","-1.74%"
"Nov 18, 2018","3.046","3.057","3.096","3.032","-0.62%"
"Nov 11, 2018","3.065","3.151","3.176","3.065","-3.80%"
"Nov 04, 2018","3.186","3.208","3.250","3.176","-1.06%"
"Oct 28, 2018","3.220","3.081","3.224","3.059","4.65%"
"Oct 21, 2018","3.077","3.192","3.209","3.057","-3.72%"
"Oct 14, 2018","3.196","3.158","3.217","3.142","0.92%"
"Oct 07, 2018","3.167","3.231","3.261","3.124","-2.04%"
"Sep 30, 2018","3.233","3.067","3.248","3.046","5.48%"
"Sep 23, 2018","3.065","3.098","3.113","3.026","-0.07%"
"Sep 16, 2018","3.067","2.990","3.096","2.977","2.27%"
"Sep 09, 2018","2.999","2.944","3.003","2.930","2.04%"
"Sep 02, 2018","2.939","2.860","2.950","2.855","2.76%"
"Aug 26, 2018","2.860","2.821","2.898","2.815","1.67%"
"Aug 19, 2018","2.813","2.866","2.869","2.808","-1.78%"
"Aug 12, 2018","2.864","2.866","2.902","2.837","-0.31%"
"Aug 05, 2018","2.873","2.956","2.986","2.853","-2.64%"
"Jul 29, 2018","2.951","2.962","3.016","2.934","-0.24%"
"Jul 22, 2018","2.958","2.895","2.988","2.882","2.18%"
"Jul 15, 2018","2.895","2.823","2.899","2.823","2.33%"
"Jul 08, 2018","2.829","2.829","2.875","2.825","0.18%"
"Jul 01, 2018","2.824","2.858","2.884","2.807","-1.26%"
"Jun 24, 2018","2.860","2.893","2.900","2.822","-1.21%"
"Jun 17, 2018","2.895","2.922","2.950","2.853","-0.92%"
"Jun 10, 2018","2.922","2.952","3.010","2.889","-0.88%"
"Jun 03, 2018","2.948","2.908","2.994","2.884","1.59%"
"May 27, 2018","2.902","2.900","2.926","2.759","-0.99%"
"May 20, 2018","2.931","3.080","3.084","2.922","-4.22%"
"May 13, 2018","3.060","2.975","3.128","2.959","3.03%"
"May 06, 2018","2.970","2.951","3.014","2.937","0.64%"
"Apr 29, 2018","2.951","2.966","2.996","2.911","-0.27%"
"Apr 22, 2018","2.959","2.968","3.035","2.955","-0.03%"
"Apr 15, 2018","2.960","2.841","2.962","2.814","4.78%"
"Apr 08, 2018","2.825","2.786","2.849","2.755","1.80%"
"Apr 01, 2018","2.775","2.759","2.838","2.717","1.24%"
"Mar 25, 2018","2.741","2.819","2.859","2.739","-2.56%"
"Mar 18, 2018","2.813","2.857","2.936","2.792","-1.12%"
"Mar 11, 2018","2.845","2.905","2.910","2.797","-1.76%"
"Mar 04, 2018","2.896","2.850","2.914","2.810","0.98%"
"Feb 25, 2018","2.868","2.875","2.925","2.793","0.07%"
"Feb 18, 2018","2.866","2.891","2.957","2.861","-0.24%"
"Feb 11, 2018","2.873","2.902","2.944","2.808","0.56%"
"Feb 04, 2018","2.857","2.847","2.885","2.648","0.56%"
"Jan 28, 2018","2.841","2.658","2.854","2.654","6.80%"
"Jan 21, 2018","2.660","2.661","2.676","2.609","-0.04%"
"Jan 14, 2018","2.661","2.553","2.663","2.522","4.35%"
"Jan 07, 2018","2.550","2.480","2.597","2.462","2.99%"
"Dec 31, 2017","2.476","2.429","2.487","2.416","2.95%"
